# torch 2.13.0+cu132 | NVIDIA GeForce RTX 3050 Ti Laptop GPU | cuda 13.2
variant,seq_len,batch,mode,latency_ms,peak_mem_mb,status
mha_manual,256,8,prefill,2.50,68.1,ok
mha_manual,512,8,prefill,6.84,188.1,ok
mha_manual,1024,8,prefill,20.25,620.1,ok
mha_manual,2048,8,prefill,68.38,2252.1,ok
mha_manual,4096,8,prefill,,8588.1,SPILL
mha_manual,8192,8,prefill,,,OOM
mha_manual,16384,8,prefill,,,OOM
mha_manual,32768,8,prefill,,,OOM
mha_sdpa,256,8,prefill,1.99,36.1,ok
mha_sdpa,512,8,prefill,5.49,60.1,ok
mha_sdpa,1024,8,prefill,15.71,108.1,ok
mha_sdpa,2048,8,prefill,52.01,204.1,ok
mha_sdpa,4096,8,prefill,195.30,396.1,ok
mha_sdpa,8192,8,prefill,767.02,780.1,ok
mha_sdpa,16384,8,prefill,3078.40,1548.1,ok
mha_sdpa,32768,8,prefill,9854.88,3084.1,ok
linformer,256,8,prefill,3.02,112.1,ok
linformer,512,8,prefill,6.04,172.1,ok
linformer,1024,8,prefill,11.50,292.1,ok
linformer,2048,8,prefill,23.01,532.1,ok
linformer,4096,8,prefill,46.73,1012.1,ok
linformer,8192,8,prefill,95.21,1972.1,ok
linformer,16384,8,prefill,1175.66,3892.1,ok
linformer,32768,8,prefill,,7732.1,SPILL
performer,256,8,prefill,4.76,78.2,ok
performer,512,8,prefill,9.44,144.2,ok
performer,1024,8,prefill,18.62,276.2,ok
performer,2048,8,prefill,36.87,540.2,ok
performer,4096,8,prefill,74.01,1068.2,ok
performer,8192,8,prefill,147.45,2124.2,ok
performer,16384,8,prefill,,4236.2,SPILL
performer,32768,8,prefill,,8460.2,SPILL
linear,512,8,prefill,4.80,77.3,ok
linear,1024,8,prefill,8.81,141.4,ok
linear,2048,8,prefill,17.92,269.6,ok
linear,4096,8,prefill,34.64,526.1,ok
linear,8192,8,prefill,70.17,1039.1,ok
linear,16384,8,prefill,155.25,2065.1,ok
linear,32768,8,prefill,,4117.1,SPILL
reformer,256,8,prefill,11.78,353.1,ok
reformer,512,8,prefill,22.92,694.1,ok
reformer,1024,8,prefill,45.86,1376.0,ok
reformer,2048,8,prefill,90.45,2739.8,ok
reformer,4096,8,prefill,,5467.3,SPILL
reformer,8192,8,prefill,,10922.4,SPILL
reformer,16384,8,prefill,,,OOM
reformer,32768,8,prefill,,,OOM
mamba1,256,8,prefill,79.40,83.7,ok
mamba1,512,8,prefill,135.88,152.2,ok
mamba1,1024,8,prefill,283.29,289.2,ok
mamba1,2048,8,prefill,538.50,563.2,ok
mamba1,4096,8,prefill,1150.53,1111.2,ok
mamba1,8192,8,prefill,2361.43,2207.2,ok
mamba1,16384,8,prefill,,4399.2,SPILL
mamba1,32768,8,prefill,,8783.2,SPILL
mamba2,256,8,prefill,34.76,669.4,ok
mamba2,512,8,prefill,70.30,1318.2,ok
mamba2,1024,8,prefill,509.57,2615.8,ok
mamba2,2048,8,prefill,,5211.2,SPILL
mamba2,4096,8,prefill,,,OOM
mamba2,8192,8,prefill,,,OOM
mamba2,16384,8,prefill,,,OOM
mamba2,32768,8,prefill,,,OOM
mamba3_siso,256,8,prefill,113.94,85.0,ok
mamba3_siso,512,8,prefill,224.36,151.5,ok
mamba3_siso,1024,8,prefill,448.55,282.5,ok
mamba3_siso,2048,8,prefill,840.44,546.5,ok
mamba3_siso,4096,8,prefill,1721.56,1074.5,ok
mamba3_siso,8192,8,prefill,3983.82,2130.5,ok
mamba3_siso,16384,8,prefill,,4242.5,SPILL
mamba3_siso,32768,8,prefill,,8466.5,SPILL
mamba3_mimo,256,8,prefill,197.11,255.1,ok
mamba3_mimo,512,8,prefill,394.51,485.1,ok
mamba3_mimo,1024,8,prefill,806.75,942.1,ok
mamba3_mimo,2048,8,prefill,1619.10,1858.1,ok
mamba3_mimo,4096,8,prefill,6451.66,3690.1,ok
mamba3_mimo,8192,8,prefill,,7354.1,SPILL
mha_manual,512,8,decode,0.72,54.9,ok
mha_manual,1024,8,decode,1.19,95.2,ok
mha_manual,2048,8,decode,2.14,175.7,ok
mha_manual,4096,8,decode,4.04,336.7,ok
mha_manual,8192,8,decode,,,OOM
mha_manual,16384,8,decode,,,OOM
mha_manual,32768,8,decode,,,OOM
mha_sdpa,256,8,decode,0.65,34.7,ok
mha_sdpa,512,8,decode,1.11,54.7,ok
mha_sdpa,1024,8,decode,1.64,94.7,ok
mha_sdpa,2048,8,decode,3.07,174.7,ok
mha_sdpa,4096,8,decode,5.69,334.7,ok
mha_sdpa,8192,8,decode,11.10,654.7,ok
mha_sdpa,16384,8,decode,21.76,1294.8,ok
mha_sdpa,32768,8,decode,680.36,2574.9,ok
mamba1,256,8,decode,1.21,22.2,ok
mamba1,512,8,decode,1.23,26.2,ok
mamba1,1024,8,decode,1.25,34.2,ok
mamba1,2048,8,decode,1.26,50.2,ok
mamba1,4096,8,decode,1.29,82.2,ok
mamba1,8192,8,decode,1.22,146.2,ok
mamba1,16384,8,decode,1.20,274.2,ok
mamba1,32768,8,decode,1.71,530.2,ok
mamba2,256,8,decode,1.62,31.4,ok
mamba2,512,8,decode,1.76,35.4,ok
mamba2,1024,8,decode,1.56,43.4,ok
mamba2,2048,8,decode,1.45,59.4,ok
mamba2,4096,8,decode,1.85,91.4,ok
mamba2,8192,8,decode,,,OOM
mamba2,16384,8,decode,,,OOM
mamba2,32768,8,decode,,,OOM
mamba3_siso,256,8,decode,1.99,36.7,ok
mamba3_siso,512,8,decode,1.99,40.7,ok
mamba3_siso,1024,8,decode,1.90,48.7,ok
mamba3_siso,2048,8,decode,1.96,64.7,ok
mamba3_siso,4096,8,decode,1.94,96.7,ok
mamba3_siso,8192,8,decode,1.92,160.7,ok
mamba3_siso,16384,8,decode,2.24,288.7,ok
mamba3_siso,32768,8,decode,2.29,544.7,ok
mamba3_mimo,256,8,decode,2.71,71.8,ok
mamba3_mimo,512,8,decode,3.68,75.8,ok
mamba3_mimo,1024,8,decode,3.44,83.8,ok
mamba3_mimo,2048,8,decode,2.56,99.8,ok
mamba3_mimo,4096,8,decode,2.35,131.8,ok
mamba3_mimo,8192,8,decode,2.45,195.8,ok
mamba3_mimo,16384,8,decode,16.43,323.8,ok
mamba3_mimo,32768,8,decode,,,OOM
linear,256,8,prefill,1.90,45.2,ok
mha_manual,256,8,decode,0.61,34.8,ok
